"ser","subject","description"
"71","serial","71"
"71","doctype","Paper"
"71","year","2012"
"71","area",
"71","title","Learning analytics: drivers, developments and challenges."
"71","citaIEEE","Ferguson, R.: Learning analytics: drivers, developments and challenges. In: International Journal of Technology Enhanced Learning, 4(5/6), 2012, pp. 304-317."
"71","link2",
"71","link1","http://oro.open.ac.uk/36374/1/IJTEL40501_Ferguson%2520Jan%25202013.pdf"
"71","rating",
"71","jcode",
"71","citOthers",
"71","cites","NULL"
"71","myres","x"
"72","serial","72"
"72","doctype","Paper"
"72","year","2012"
"72","area",
"72","title","A Review on Educational Data Mining"
"72","citaIEEE",
"72","link2","https://www.ijsr.net/archive/v3i11/U1VCMTQyMTI%3D.pdf"
"72","link1",
"72","rating",
"72","jcode",
"72","citOthers",
"72","cites","NULL"
"72","myres",
"73","serial","73"
"73","doctype","Paper"
"73","year","2012"
"73","area",
"73","title","Learning Analytics and Educational Data Mining: Towards Communication and Collaboration."
"73","citaIEEE","Siemens & Baker (2012). Learning Analytics and Educational Data Mining: Towards Communication and Collaboration. Learning Analytics and Knowledge 2012."
"73","link2",
"73","link1","http://users.wpi.edu/~rsbaker/LAKs%20reformatting%20v2.pdf"
"73","rating",
"73","jcode",
"73","citOthers",
"73","cites","NULL"
"73","myres",
"74","serial","74"
"74","doctype","Paper"
"74","year","2012"
"74","area",
"74","title","Mining Educational Data to Improve Students’ Performance:
A Case Study"
"74","citaIEEE",
"74","link2",
"74","link1",
"74","rating",
"74","jcode",
"74","citOthers",
"74","cites","NULL"
"74","myres",
"75","serial","75"
"75","doctype","Paper"
"75","year","2012"
"75","area",
"75","title","Mining Educational Data to Improve Students’ Performance: Case Study"
"75","citaIEEE",
"75","link2","https://pdfs.semanticscholar.org/3711/380a5555ff01e37cb13bde61c8bd95b233f6.pdf"
"75","link1",
"75","rating",
"75","jcode",
"75","citOthers",
"75","cites","NULL"
"75","myres",
"76","serial","76"
"76","doctype","Paper"
"76","year","2012"
"76","area",
"76","title","Psychological Correlates of Univ Students Academic Performance"
"76","citaIEEE",
"76","link2","https://drive.google.com/open?id=0B3SCt9TAto6-M0RDc282UmhfYUliZ284MGpHY3lhYy1DYVBj"
"76","link1",
"76","rating",
"76","jcode",
"76","citOthers",
"76","cites","NULL"
"76","myres",
"77","serial","77"
"77","doctype","Paper"
"77","year","2012"
"77","area",
"77","title","Research Methodology for Educational Data Mining in India"
"77","citaIEEE",
"77","link2","http://www.bvicam.ac.in/news/INDIACom%202012%20Proceedings/papers/239.pdf"
"77","link1",
"77","rating",
"77","jcode",
"77","citOthers",
"77","cites","NULL"
"77","myres",
"78","serial","78"
"78","doctype","Paper"
"78","year","2012"
"78","area",
"78","title",
"78","citaIEEE","Abdous, M., He, W., & Yen, C. (2012). Using data mining for predicting relationships between online question theme and final grade. Educational Technology & Society, 15(3), 77-88."
"78","link2",
"78","link1",
"78","rating",
"78","jcode",
"78","citOthers",
"78","cites","NULL"
"78","myres",
"79","serial","79"
"79","doctype","Paper"
"79","year","2012"
"79","area",
"79","title",
"79","citaIEEE","A. Banumathi and A. Pethalakshmi, ""A novel approach for upgrading Indian education by using data mining techniques,"" in Proc. 2012 IEEE International Conference on Technology Enhanced Education (ICTEE), pp. 1-5, 2012."
"79","link2",
"79","link1",
"79","rating",
"79","jcode",
"79","citOthers",
"79","cites","NULL"
"79","myres",
"80","serial","80"
"80","doctype","Paper"
"80","year","2012"
"80","area",
"80","title",
"80","citaIEEE","F. Wu, ""Discussion on experimental teaching of data warehouse & data mining course for undergraduate education,"" in Proc. 2012 7th International Conference on Computer Science and Education, (Iccse), pp. 1425-1429, 2012."
"80","link2",
"80","link1",
"80","rating",
"80","jcode",
"80","citOthers",
"80","cites","NULL"
"80","myres",
"81","serial","81"
"81","doctype","Paper"
"81","year","2012"
"81","area",
"81","title",
"81","citaIEEE","K. Dejaeger, F. Goethals, A. Giangreco, L. Mola, and B. Baesens, ""Gaining insight into student satisfaction using comprehensible data mining techniques,"" European Journal of Operational Research, vol. 218, no. 2, pp. 548-562, 2012."
"81","link2",
"81","link1",
"81","rating",
"81","jcode",
"81","citOthers",
"81","cites","NULL"
"81","myres",
"82","serial","82"
"82","doctype","Paper"
"82","year","2012"
"82","area",
"82","title",
"82","citaIEEE","B. Sen and E. Ucar, ""Evaluating the achievements of computer engineering department of distance education students with data mining methods,"" Procedia Technology, vol. 1, pp. 262-267, 2012."
"82","link2",
"82","link1",
"82","rating",
"82","jcode",
"82","citOthers",
"82","cites","NULL"
"82","myres",
"83","serial","83"
"83","doctype","Paper"
"83","year","2012"
"83","area",
"83","title",
"83","citaIEEE","B. Sen, E. Uçar, and D. Delen, ""Predicting and analyzing secondary education placement-test scores: A data mining approach,"" Expert Systems with Applications, vol. 39, no. 10, pp. 9468-9476, 2012."
"83","link2",
"83","link1",
"83","rating",
"83","jcode",
"83","citOthers",
"83","cites","NULL"
"83","myres",
"84","serial","84"
"84","doctype","Paper"
"84","year","2012"
"84","area",
"84","title",
"84","citaIEEE","S. K. Yadav, B. Bharadwaj, and S. Pal, ""Mining education data to predict student&rsquo;s retention: A comparative study,"" vol. 10, no. 2, pp. 5, 2012."
"84","link2",
"84","link1",
"84","rating",
"84","jcode",
"84","citOthers",
"84","cites","NULL"
"84","myres",
"85","serial","85"
"85","doctype","Paper"
"85","year","2012"
"85","area",
"85","title",
"85","citaIEEE","T. Calders and M. Pechenizkiy, ""Introduction to the special section on educational data mining,"" ACM SIGKDD Explorations Newsletter, vol. 13, no. 2, pp. 3, 2012."
"85","link2",
"85","link1",
"85","rating",
"85","jcode",
"85","citOthers",
"85","cites","NULL"
"85","myres",
"86","serial","86"
"86","doctype","Paper"
"86","year","2012"
"86","area",
"86","title",
"86","citaIEEE","G. Siemens and R. S. J. Baker, ""Learning analytics and educational data mining: Towards communication and collaboration,"" in Proc. the 2nd International Conference on Learning Analytics and Knowledge, pp. 252-254, 2012."
"86","link2",
"86","link1",
"86","rating",
"86","jcode",
"86","citOthers",
"86","cites","NULL"
"86","myres",
"87","serial","87"
"87","doctype","Paper"
"87","year","2012"
"87","area",
"87","title",
"87","citaIEEE","S. H. Lin, ""Data mining for student retention management,"" Journal of Computing Sciences in Colleges, vol. 27, pp. 92-99, 2012."
"87","link2",
"87","link1",
"87","rating",
"87","jcode",
"87","citOthers",
"87","cites","NULL"
"87","myres",
"88","serial","88"
"88","doctype","Paper"
"88","year","2012"
"88","area",
"88","title",
"88","citaIEEE","T. Denley, ""Austin Peay State University: Degree Compass,"" EDUCAUSE Review Online., 2012."
"88","link2",
"88","link1",
"88","rating",
"88","jcode",
"88","citOthers",
"88","cites","NULL"
"88","myres",
"89","serial","89"
"89","doctype","Paper"
"89","year","2012"
"89","area",
"89","title",
"89","citaIEEE","T. S. Madhulatha, ""An overview on clustering methods,"" arXiv preprint arXiv:1205.1117, 2012."
"89","link2",
"89","link1",
"89","rating",
"89","jcode",
"89","citOthers",
"89","cites","NULL"
"89","myres",
"90","serial","90"
"90","doctype","Paper"
"90","year","2012"
"90","area",
"90","title",
"90","citaIEEE","S. Parack, Z. Zahid, and F. Merchant, ""Application of data mining in educational databases for predicting academic trends and patterns,"" in Technology Enhanced Education (ICTEE), 2012 IEEE International Conference on, 2012, pp. 1-4."
"90","link2",
"90","link1",
"90","rating",
"90","jcode",
"90","citOthers",
"90","cites","NULL"
"90","myres",
"91","serial","91"
"91","doctype","Paper"
"91","year","2012"
"91","area",
"91","title","Applicability of Data Mining Algorithms for Recommendation System in E-Learning"
"91","citaIEEE","S. B. Aher and L. Lobo, ""Applicability of Data Mining Algorithms for Recommendation System in E-Learning,"" presented at the ICACCI '12: Proceedings of the International Conference on Advances in Computing, Communications and Informatics, 2012."
"91","link2",
"91","link1",
"91","rating",
"91","jcode",
"91","citOthers",
"91","cites","NULL"
"91","myres",
"92","serial","92"
"92","doctype","Paper"
"92","year","2012"
"92","area",
"92","title","Using cluster analysis for data mining in educational technology research"
"92","citaIEEE","P. D. Antonenko, S. Toy, and D. S. Niederhauser, ""Using cluster analysis for data mining in educational technology research,"" ETR&D- Educational Technology Research and Development, vol. 60, pp. 383- 398, 2012."
"92","link2",
"92","link1",
"92","rating",
"92","jcode",
"92","citOthers",
"92","cites","NULL"
"92","myres",
"93","serial","93"
"93","doctype","Paper"
"93","year","2012"
"93","area",
"93","title","Using agglomerative hierarchical clustering to model learner participation profiles in online discussion forums,"
"93","citaIEEE","G. Cobo, D. García-Solórzano, J. A. Morán, E. Santamaría, C. Monzo, and J. Melenchón, ""Using agglomerative hierarchical clustering to model learner participation profiles in online discussion forums,"" in 2nd International Conference on Learning Analytics and Knowledge, 2012."
"93","link2",
"93","link1",
"93","rating",
"93","jcode",
"93","citOthers",
"93","cites","NULL"
"93","myres",
"94","serial","94"
"94","doctype","Paper"
"94","year","2012"
"94","area",
"94","title","Evaluation of Web Based Behavioral Interventions using Spoken Tutorials,"
"94","citaIEEE","K. L. N. Eranki and K. M. Moudgalya, ""Evaluation of Web Based Behavioral Interventions using Spoken Tutorials,"" presented at the IEEE Fourth International Conference on Technology for Education, 2012"
"94","link2",
"94","link1",
"94","rating",
"94","jcode",
"94","citOthers",
"94","cites","NULL"
"94","myres",
"95","serial","95"
"95","doctype","Paper"
"95","year","2012"
"95","area",
"95","title",
"95","citaIEEE","F. Ghorbani and G. A. Montazer, ""Learners grouping improvement in e-learning environment using fuzzy inspired PSO method,"" presented at the E-Learning and E-Teaching (ICELET), 2012 Third International Conference on, 2012."
"95","link2",
"95","link1",
"95","rating",
"95","jcode",
"95","citOthers",
"95","cites","NULL"
"95","myres",
"96","serial","96"
"96","doctype","Paper"
"96","year","2012"
"96","area",
"96","title",
"96","citaIEEE","S. Valsamidis, S. Kontogiannis, I. Kazanidis, T. Theodosiou, and A. Karakos, ""A Clustering Methodology of Web Log Data for Learning Management Systems,"" Educational Technology & Society, vol. 15, pp. 154-167, 2012."
"96","link2",
"96","link1",
"96","rating",
"96","jcode",
"96","citOthers",
"96","cites","NULL"
"96","myres",
"97","serial","97"
"97","doctype","Paper"
"97","year","2012"
"97","area",
"97","title",
"97","citaIEEE","V. Ivancevic, M. Celikovic, and I. Lukovic, ""The Individual Stability of Student Spatial Deployment and its Implications,"" presented at the Computers in Education (SIIE), 2012 International Symposium on, 2012"
"97","link2",
"97","link1",
"97","rating",
"97","jcode",
"97","citOthers",
"97","cites","NULL"
"97","myres",
"98","serial","98"
"98","doctype","Paper"
"98","year","2012"
"98","area",
"98","title",
"98","citaIEEE","R. S. Baker and S. M. Gowda, ""Towards automatically detecting whether student learning is shallow,"" Intelligent Tutoring , 2012."
"98","link2",
"98","link1",
"98","rating",
"98","jcode",
"98","citOthers",
"98","cites","NULL"
"98","myres",
"99","serial","99"
"99","doctype","Paper"
"99","year","2012"
"99","area",
"99","title",
"99","citaIEEE","E. Trandafili, A. Allkoci, E. Kajo, and A. Xhuvani, ""Discovery and evaluation of student's profiles with machine learning,"" Proceedings of the Fifth Balkan Conference in Informatics on - BCI '12, pp. 174-174, 2012."
"99","link2",
"99","link1",
"99","rating",
"99","jcode",
"99","citOthers",
"99","cites","NULL"
"99","myres",
"100","serial","100"
"100","doctype","Paper"
"100","year","2012"
"100","area",
"100","title",
"100","citaIEEE","M. M. T. Tair and A. M. El-Halees, ""Mining educational data to improve students&rsquo; performance: A case study,"" International Journal of Information and Communication Technology Research, vol. 2, 2012."
"100","link2",
"100","link1",
"100","rating",
"100","jcode",
"100","citOthers",
"100","cites","NULL"
"100","myres",
"101","serial","101"
"101","doctype","Paper"
"101","year","2012"
"101","area",
"101","title",
"101","citaIEEE","K. K. Bharti, S. Shukla, and S. Jain, ""Intrusion detection using clustering,"" Proceeding of the Association of Counseling Center Training Agencies (ACCTA), vol. 1, 2010."
"101","link2",
"101","link1",
"101","rating",
"101","jcode",
"101","citOthers",
"101","cites","NULL"
"101","myres",
"102","serial","102"
"102","doctype","Paper"
"102","year","2013"
"102","area",
"102","title","Comparative Analysis of the Effect of Attendance on Academic Performance of Management and Finance Course Students"
"102","citaIEEE",
"102","link2","https://drive.google.com/open?id=0B3SCt9TAto6-bk1HeHp5X2RmME5HeXBJZ1habGFnVG9jcTlZ"
"102","link1","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.569.1446&rep=rep1&type=pdf"
"102","rating",
"102","jcode",
"102","citOthers","http://citeseerx.ist.psu.edu/viewdoc/citations?doi=10.1.1.569.1446"
"102","cites","NULL"
"102","myres",
"103","serial","103"
"103","doctype","Paper"
"103","year","2013"
"103","area",
"103","title","Using Learning Analytics to Predict (and Improve) Student Success: A Faculty Perspective"
"103","citaIEEE","Dietz-Uhler, B. & Hurn, J. E. (2013). Using learning analytics to predict (and improve) student success: a faculty perspective. Journal of Interactive Online Learning, 12, 17-26."
"103","link2","http://www.ncolr.org/jiol/issues/pdf/12.1.2.pdf"
"103","link1","http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.681.8439"
"103","rating",
"103","jcode",
"103","citOthers","http://citeseerx.ist.psu.edu/viewdoc/citations?doi=10.1.1.681.8439"
"103","cites","NULL"
"103","myres","x"
"104","serial","104"
"104","doctype","Paper"
"104","year","2013"
"104","area",
"104","title","An Educational Data Mining Model for Predicting Student Performance in Programming Course"
"104","citaIEEE","El A F Gamal. Article: An Educational Data Mining Model for Predicting Student Performance in Programming Course. International Journal of Computer Applications 70(17):22-28, May 2013."
"104","link2","https://drive.google.com/open?id=0B3SCt9TAto6-UkZ1bDk4aGR3X0JpZU8wdHEydG5xWHJkdDRv"
"104","link1","http://www.ijcaonline.org/archives/volume70/number17/12160-8163"
"104","rating",
"104","jcode",
"104","citOthers",
"104","cites","NULL"
"104","myres","x"
"105","serial","105"
"105","doctype","Paper"
"105","year","2013"
"105","area",
"105","title","Data mining in education"
"105","citaIEEE","Cristobal Romero and Sebastian Ventura. 2013. Data mining in education. Wiley Int. Rev. Data Min. and Knowl. Disc. 3, 1 (January 2013), 12-27."
"105","link2",
"105","link1","http://dl.acm.org/citation.cfm?id=2787468"
"105","rating",
"105","jcode",
"105","citOthers",
"105","cites","NULL"
"105","myres","x"
"106","serial","106"
"106","doctype","Paper"
"106","year","2013"
"106","area",
"106","title","Data mining in education."
"106","citaIEEE","Cristobal Romero and Sebastian Ventura. 2013. Data mining in education. Wiley Int. Rev. Data Min. and Knowl. Disc. 3, 1 (January 2013), 12-27."
"106","link2",
"106","link1","http://wires.wiley.com/WileyCDA/WiresArticle/wisId-WIDM1075.html"
"106","rating",
"106","jcode",
"106","citOthers",
"106","cites","NULL"
"106","myres","x"
"107","serial","107"
"107","doctype","Paper"
"107","year","2013"
"107","area",
"107","title","Learning Analytics Methods, Benefits, and Challenges in Higher Education: A Systematic Literature Review"
"107","citaIEEE",
"107","link2",
"107","link1","https://olj.onlinelearningconsortium.org/index.php/olj/article/view/790"
"107","rating",
"107","jcode",
"107","citOthers",
"107","cites","NULL"
"107","myres",
"108","serial","108"
"108","doctype","Paper"
"108","year","2013"
"108","area",
"108","title","A Study on Student Data Analysis Using Data Mining Techniques"
"108","citaIEEE",
"108","link2","http://www.ijarcsse.com/docs/papers/Volume_3/8_August2013/V3I8-0105.pdf"
"108","link1",
"108","rating",
"108","jcode",
"108","citOthers",
"108","cites","NULL"
"108","myres",
"109","serial","109"
"109","doctype","Paper"
"109","year","2013"
"109","area",
"109","title","A SURVEY ON EDUCATIONAL DATA MINING AND RESEARCH TRENDS"
"109","citaIEEE",
"109","link2","http://airccse.org/journal/ijdms/papers/5313ijdms04.pdf"
"109","link1",
"109","rating",
"109","jcode",
"109","citOthers",
"109","cites","NULL"
"109","myres",
"110","serial","110"
"110","doctype","Paper"
"110","year","2013"
"110","area",
"110","title","A SURVEY ON EDUCATIONAL DATA MINING AND RESEARCH TRENDS"
"110","citaIEEE",
"110","link2","http://airccse.org/journal/ijdms/papers/5313ijdms04.pdf"
"110","link1",
"110","rating",
"110","jcode",
"110","citOthers",
"110","cites","NULL"
"110","myres",
"111","serial","111"
"111","doctype","Paper"
"111","year","2013"
"111","area",
"111","title","Clustering Educational Digital Library Usage Data: Comparison"
"111","citaIEEE",
"111","link2","https://www.google.co.in/url?sa=t&rct=j&q=&esrc=s&source=web&cd=19&cad=rja&uact=8&ved=0ahUKEwiouP6n4s_RAhUFvY8KHZQfCxA4ChAWCEEwCA&url=http%3A%2F%2Fwww.educationaldatamining.org%2FJEDM%2Findex.php%2FJEDM%2Farticle%2Fview%2F21%2F29&usg=AFQjCNF49uOiukrjB1UythpbvnzsPfkQaA&sig2=Fi_CxcuxIF5jXbiVvXPs3Q&bvm=bv.144224172,d.c2I"
"111","link1",
"111","rating",
"111","jcode",
"111","citOthers",
"111","cites","NULL"
"111","myres",
"112","serial","112"
"112","doctype","Paper"
"112","year","2013"
"112","area",
"112","title","Improving the Student’s Performance Using Educational Data Mining"
"112","citaIEEE",
"112","link2","http://www.ijana.in/papers/V4I4-7.pdf"
"112","link1",
"112","rating",
"112","jcode",
"112","citOthers",
"112","cites","NULL"
"112","myres",
"113","serial","113"
"113","doctype","Paper"
"113","year","2013"
"113","area",
"113","title","Use of Data Mining Methodologies in Evaluating Educational Data"
"113","citaIEEE",
"113","link2","http://www.ijsrp.org/research-paper-1113/ijsrp-p2307.pdf"
"113","link1",
"113","rating",
"113","jcode",
"113","citOthers",
"113","cites","NULL"
"113","myres",
"114","serial","114"
"114","doctype","Paper"
"114","year","2013"
"114","area",
"114","title",
"114","citaIEEE","R. B. Bhise, S. S. Thorat, and A. K. Supekar, ""Importance of data mining in higher education system,"" Journal of Humanities and Social Science, vol. 6, no. 6, pp. 18-21, 2013."
"114","link2",
"114","link1",
"114","rating",
"114","jcode",
"114","citOthers",
"114","cites","NULL"
"114","myres",
"115","serial","115"
"115","doctype","Paper"
"115","year","2013"
"115","area",
"115","title",
"115","citaIEEE","C. Romero and S. Ventura, ""Data mining in education,"" Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery, vol. 3, no. 1, pp. 12-27, 2013."
"115","link2",
"115","link1",
"115","rating",
"115","jcode",
"115","citOthers",
"115","cites","NULL"
"115","myres",
"116","serial","116"
"116","doctype","Paper"
"116","year","2013"
"116","area",
"116","title",
"116","citaIEEE","I. Jormanainen, ""An open approach for learning educational data mining,"" ACM International Conference Proceeding Series, pp. 203-204, Nov. 2013."
"116","link2",
"116","link1",
"116","rating",
"116","jcode",
"116","citOthers",
"116","cites","NULL"
"116","myres",
"117","serial","117"
"117","doctype","Paper"
"117","year","2013"
"117","area",
"117","title",
"117","citaIEEE","S. R. Librelotto and P. M. Mozzaquatro, ""Mining algorithms analysis J48 and Apriori applied to detect the quality of life and health indicators,"" Interdisciplinary Journal of Teaching, Research and Extension, vol. 1, 2013, p. 27."
"117","link2",
"117","link1",
"117","rating",
"117","jcode",
"117","citOthers",
"117","cites","NULL"
"117","myres",
"118","serial","118"
"118","doctype","Paper"
"118","year","2013"
"118","area",
"118","title",
"118","citaIEEE","S. Sagiroglu and D. Sinanc, ""Big Data: A Review,"" Proceedings of the 2013 International Conference on Collaboration Technologies and Systems (Cts), pp. 42-47, 2013."
"118","link2",
"118","link1",
"118","rating",
"118","jcode",
"118","citOthers",
"118","cites","NULL"
"118","myres",
"119","serial","119"
"119","doctype","Paper"
"119","year","2013"
"119","area",
"119","title",
"119","citaIEEE","C. Romero, M. I. López, J. M. Luna, and S. Ventura, ""Predicting students' final performance from participation in on-line discussion forums,"" Computers & Education, vol. 68, pp. 458-472, 2013."
"119","link2",
"119","link1",
"119","rating",
"119","jcode",
"119","citOthers",
"119","cites","NULL"
"119","myres",
"120","serial","120"
"120","doctype","Paper"
"120","year","2013"
"120","area",
"120","title",
"120","citaIEEE","A. Dharmarajan and T. Velmurugan, ""Applications of Partition based Clustering Algorithms: A Survey,"" presented at the Computational Intelligence and Computing Research (ICCIC), 2013 IEEE International Conference on, 2013."
"120","link2",
"120","link1",
"120","rating",
"120","jcode",
"120","citOthers",
"120","cites","NULL"
"120","myres",
"121","serial","121"
"121","doctype","Paper"
"121","year","2013"
"121","area",
"121","title",
"121","citaIEEE","R. Martinez-Maldonado, K. Yacef, and J. Kay, ""Data Mining in the Classroom: Discovering Groups&rsquo; Strategies at a Multi-tabletop Environment,"" Proc. EDM, vol. 2013, 2013."
"121","link2",
"121","link1",
"121","rating",
"121","jcode",
"121","citOthers",
"121","cites","NULL"
"121","myres",
"122","serial","122"
"122","doctype","Paper"
"122","year","2013"
"122","area",
"122","title",
"122","citaIEEE","B. Azarnoush, J. M. Bekki, G. C. Runger, B. L. Bernstein, and R. K. Atkinson, ""Toward a Framework for Learner Segmentation,"" JEDM- Journal of Educational Data Mining, vol. 5, 2013."
"122","link2",
"122","link1",
"122","rating",
"122","jcode",
"122","citOthers",
"122","cites","NULL"
"122","myres",
"123","serial","123"
"123","doctype","Thesis"
"123","year","2013"
"123","area",
"123","title","Prediction of student performance using data mining techniques in higher education domain"
"123","citaIEEE","Rathore, Vijay Singh, Prediction of student performance using data mining techniques in higher education domain, Phd Thesis, Suresh Gyan Vihar University, 2013"
"123","link2",
"123","link1","http://shodhganga.inflibnet.ac.in:8080/jspui/handle/10603/38865"
"123","rating",
"123","jcode",
"123","citOthers",
"123","cites","NULL"
"123","myres","x"
"124","serial","124"
"124","doctype","Paper"
"124","year","2014"
"124","area",
"124","title","What Drives a Successful MOOC? An Empirical Examination of Criteria to Assure Design Quality of MOOCs"
"124","citaIEEE","Yousef, A. M. F.; Chatti, M. A.; Schroeder, U.; Wosnitza, M. (2014b): What Drives a Successful MOOC? An Empirical Examination of Criteria to Assure Design Quality of MOOCs. In: Proceedings of the 14th IEEE International Conference on Advanced Learning Technologies, 2014, pp. 44-48."
"124","link2",
"124","link1","http://ieeexplore.ieee.org/abstract/document/6901394"
"124","rating",
"124","jcode",
"124","citOthers","http://ieeexplore.ieee.org/abstract/document/6901394/citations"
"124","cites","12"
"124","myres","x"
"125","serial","125"
"125","doctype","Paper"
"125","year","2014"
"125","area",
"125","title","Educational Data Mining and Learning Analytics"
"125","citaIEEE","Recker, M., Krumm, A., Feng, M., Grover, S., & Koedinger, K. (2014). CIRCL Primer: Educational Data Mining and Learning Analytics. In CIRCL Primer Series. Retrieved from http://circlcenter.org/educational-data-mining-learning-analytics/"
"125","link2","http://circlcenter.org/educational-data-mining-learning-analytics/"
"125","link1","http://circlcenter.org/educational-data-mining-learning-analytics/"
"125","rating",
"125","jcode",
"125","citOthers",
"125","cites","NULL"
"125","myres","x"
"126","serial","126"
"126","doctype","Paper"
"126","year","2014"
"126","area",
"126","title","Educational Data Mining: A Systematic Review of the Published Literature 2006-2013"
"126","citaIEEE","Al-Razgan, Muna and Al-Khalifa, &ldquo;Educational Data Mining: A Systematic Review of the Published Literature 2006-2013"", ""Proceedings of the First International Conference on Advanced Data and Information Engineering (DaEng-2013)"", pp. 711-719, 2014"
"126","link2",
"126","link1","http://link.springer.com/chapter/10.1007/978-981-4585-18-7_80#page-1"
"126","rating",
"126","jcode",
"126","citOthers",
"126","cites","NULL"
"126","myres","x"
"127","serial","127"
"127","doctype","Paper"
"127","year","2014"
"127","area",
"127","title","Mining Students' Data for Prediction Performance"
"127","citaIEEE","T. Mishra, D. Kumar and S. Gupta, ""Mining Students' Data for Prediction Performance,"" 2014 Fourth International Conference on Advanced Computing & Communication Technologies, Rohtak, 2014, pp. 255-262."
"127","link2",
"127","link1","http://ieeexplore.ieee.org/document/6783461/"
"127","rating",
"127","jcode",
"127","citOthers",
"127","cites","NULL"
"127","myres","x"
"128","serial","128"
"128","doctype","Paper"
"128","year","2014"
"128","area",
"128","title","Review: Educational data mining: A survey and a data mining-based analysis of recent works."
"128","citaIEEE","Alejandro Peña-Ayala. 2014. Review: Educational data mining: A survey and a data mining-based analysis of recent works. Expert Syst. Appl. 41, 4 (March 2014), 1432-1462."
"128","link2",
"128","link1",
"128","rating",
"128","jcode",
"128","citOthers",
"128","cites","NULL"
"128","myres","x"
"129","serial","129"
"129","doctype","Paper"
"129","year","2014"
"129","area",
"129","title","Review: Educational data mining: A survey and a data mining-based analysis of recent works."
"129","citaIEEE","Alejandro Peña-Ayala. 2014. Review: Educational data mining: A survey and a data mining-based analysis of recent works. Expert Syst. Appl. 41, 4 (March 2014), 1432-1462."
"129","link2",
"129","link1","http://romisatriawahono.net/lecture/dm/survey/Ayala%20-%20Educational%20Data%20Mining%20-%202014.pdf"
"129","rating",
"129","jcode",
"129","citOthers",
"129","cites","NULL"
"129","myres","x"
"130","serial","130"
"130","doctype","Paper"
"130","year","2014"
"130","area",
"130","title","Learning Analytics: Challenges and Future Research"
"130","citaIEEE","Chatti, M. A., Lukarov, V., Thüs, H., Muslim, A., Yousef, A. M. F., Wahid, U., Greven, C., Chakrabarti, A., Schroeder, U. (2014). Learning Analytics: Challenges and Future Research Directions. eleed, Iss. 10."
"130","link2",
"130","link1","https://eleed.campussource.de/archive/10/4035"
"130","rating",
"130","jcode",
"130","citOthers",
"130","cites","NULL"
"130","myres","x"
"131","serial","131"
"131","doctype","Paper"
"131","year","2014"
"131","area",
"131","title","Current state and future trends: a citation network analysis of the learning analytics field"
"131","citaIEEE","Dawson, S.; Gaševic, D.; Siemens, G.; Joksimovic, S.: Current state and future trends: a citation network analysis of the learning analytics field. In: Proceedings of the Fourth International Conference on Learning Analytics & Knowledge. ACM New York, NY, USA, 2014, pp. 231-240."
"131","link2",
"131","link1","http://dl.acm.org/citation.cfm?id=2567585"
"131","rating",
"131","jcode",
"131","citOthers",
"131","cites","NULL"
"131","myres","x"
"132","serial","132"
"132","doctype","Paper"
"132","year","2014"
"132","area",
"132","title","Big Data in Educational Data Mining and Learning Analytics"
"132","citaIEEE","Prakash, BR, Hanumanthappa, M and Kavitha Vasantha : Big Data in Educational Data Mining and Learning Analytics. In the Proceeddings of International Journal of Innovative Research in Computer and Communication Engineering, 2014"
"132","link2",
"132","link1","http://www.rroij.com/open-access/big-data-in-educational-data-mining-andlearning-analytics.php?aid=47718"
"132","rating",
"132","jcode",
"132","citOthers",
"132","cites","NULL"
"132","myres","x"
"133","serial","133"
"133","doctype","Paper"
"133","year","2014"
"133","area",
"133","title","Data Mining: A prediction for Student's Performance
Using Classification Method"
"133","citaIEEE",
"133","link2","http://ieeexplore.ieee.org/document/7451491/"
"133","link1","https://pdfs.semanticscholar.org/7202/502339565f0efbbcca9b601a2d30422f00f3.pdf"
"133","rating",
"133","jcode",
"133","citOthers",
"133","cites","NULL"
"133","myres",
"134","serial","134"
"134","doctype","Paper"
"134","year","2014"
"134","area",
"134","title","A Survey on Predicting Student Performance"
"134","citaIEEE",
"134","link2","https://pdfs.semanticscholar.org/ac64/161e49116b6ba6948297e719a9c7b70b4a62.pdf"
"134","link1",
"134","rating",
"134","jcode",
"134","citOthers",
"134","cites","NULL"
"134","myres",
"135","serial","135"
"135","doctype","Paper"
"135","year","2014"
"135","area",
"135","title","Apriori- A Big Data Analysis in Education"
"135","citaIEEE",
"135","link2","http://www.ijiset.com/v1s10/IJISET_V1_I10_34.pdf"
"135","link1",
"135","rating",
"135","jcode",
"135","citOthers",
"135","cites","NULL"
"135","myres",
"136","serial","136"
"136","doctype","Paper"
"136","year","2014"
"136","area",
"136","title","Big Data and analytics in higher education: Opportunities and challenges"
"136","citaIEEE",
"136","link2",
"136","link1",
"136","rating",
"136","jcode",
"136","citOthers",
"136","cites","NULL"
"136","myres",
"137","serial","137"
"137","doctype","Paper"
"137","year","2014"
"137","area",
"137","title","Educational Data Mining and Learning Analytics: Applications to Constructionist Research"
"137","citaIEEE",
"137","link2","https://tltl.stanford.edu/sites/default/files/files/documents/publications/2014.TKL-BBB.Educational.pdf"
"137","link1",
"137","rating",
"137","jcode",
"137","citOthers",
